size,agent,agent_per_task,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
21x35,40,5,edf,0,False,False,True,200,191,1856
21x35,40,5,edf,0.1,True,False,True,200,198,537
21x35,40,5,edf,0.1,True,True,True,200,198,541
21x35,40,5,edf,0.1,False,False,True,200,198,1857
21x35,40,5,edf,0.25,True,False,True,200,200,571
21x35,40,5,edf,0.25,True,True,True,200,200,589
21x35,40,5,edf,0.25,False,False,True,200,200,1862
21x35,40,5,flex,0,True,False,True,200,193,9172
21x35,40,5,flex,0,True,True,True,200,193,6163
21x35,40,5,flex,0,False,False,True,200,193,180072
21x35,40,5,flex,0.1,True,False,True,200,200,9350
21x35,40,5,flex,0.1,True,True,True,200,199,6420
21x35,40,5,flex,0.1,False,False,True,200,200,176597
21x35,40,5,flex,0.25,True,False,True,200,200,8778
21x35,40,5,flex,0.25,True,True,True,200,200,5837
21x35,40,5,flex,0.25,False,False,True,200,200,175217
21x35,50,10,edf,0,True,False,True,500,490,2041
21x35,50,10,edf,0,True,True,True,500,490,2099
21x35,50,10,edf,0,False,False,True,500,490,8282
21x35,50,10,edf,0.1,True,False,True,500,485,2095
21x35,50,10,edf,0.1,True,True,True,500,485,2071
21x35,50,10,edf,0.1,False,False,True,500,485,8323
21x35,50,10,edf,0.25,True,False,True,500,499,2066
21x35,50,10,edf,0.25,True,True,True,500,499,2121
21x35,50,10,edf,0.25,False,False,True,500,499,8204
21x35,50,10,flex,0,True,False,True,500,492,65450
21x35,50,10,flex,0,True,True,True,500,470,36694
21x35,50,10,flex,0,False,False,True,500,43,-1
21x35,50,10,flex,0.1,True,False,True,500,499,59040
21x35,50,10,flex,0.1,True,True,True,500,499,39912
21x35,50,10,flex,0.1,False,False,True,500,50,-1
21x35,50,10,flex,0.25,True,False,True,500,498,55468
21x35,50,10,flex,0.25,True,True,True,500,500,32131
21x35,50,10,flex,0.25,False,False,True,500,49,-1
21x35,50,2,edf,0,True,False,True,100,92,244
21x35,50,2,edf,0,True,True,True,100,92,261
21x35,50,2,edf,0,False,False,True,100,92,1029
21x35,50,2,edf,0.1,True,False,True,100,99,276
21x35,50,2,edf,0.1,True,True,True,100,99,280
21x35,50,2,edf,0.1,False,False,True,100,99,1076
21x35,50,2,edf,0.25,True,False,True,100,100,290
21x35,50,2,edf,0.25,True,True,True,100,100,293
21x35,50,2,edf,0.25,False,False,True,100,100,1018
21x35,50,2,flex,0,True,False,True,100,93,3254
21x35,50,2,flex,0,True,True,True,100,92,1691
21x35,50,2,flex,0,False,False,True,100,93,48912
21x35,50,2,flex,0.1,True,False,True,100,97,3615
21x35,50,2,flex,0.1,True,True,True,100,100,1634
21x35,50,2,flex,0.1,False,False,True,100,97,55337
21x35,50,2,flex,0.25,True,False,True,100,100,3872
21x35,50,2,flex,0.25,True,True,True,100,100,1955
21x35,50,2,flex,0.25,False,False,True,100,100,56398
21x35,50,5,edf,0,True,False,True,250,238,829
21x35,50,5,edf,0,True,True,True,250,238,829
21x35,50,5,edf,0,False,False,True,250,238,3348
21x35,50,5,edf,0.1,True,False,True,250,247,805
21x35,50,5,edf,0.1,True,True,True,250,247,817
21x35,50,5,edf,0.1,False,False,True,250,247,3139
21x35,50,5,edf,0.25,True,False,True,250,250,840
21x35,50,5,edf,0.25,True,True,True,250,250,846
21x35,50,5,edf,0.25,False,False,True,250,250,3216
21x35,50,5,flex,0,True,False,True,250,243,18981
21x35,50,5,flex,0,True,True,True,250,237,13405
21x35,50,5,flex,0,False,False,True,250,131,-1
21x35,50,5,flex,0.1,True,False,True,250,242,17683
21x35,50,5,flex,0.1,True,True,True,250,250,10240
21x35,50,5,flex,0.1,False,False,True,250,133,-1
21x35,50,5,flex,0.25,True,False,True,250,250,17343
21x35,50,5,flex,0.25,True,True,True,250,250,10640
21x35,50,5,flex,0.25,False,False,True,250,126,-1
