size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,150,10,0.25,edf,True,False,True,1500,1494,37603
33x46,150,10,0.25,edf,True,True,True,1500,1494,37960
33x46,150,10,0.25,edf,False,False,True,1500,1494,36893
33x46,150,10,-0.1,edf,True,False,True,1500,1447,43740
33x46,150,10,-0.1,edf,True,True,True,1500,1447,42603
33x46,150,10,-0.1,edf,False,False,True,1500,1447,43058
33x46,150,10,-0.25,edf,True,False,True,1500,1426,40306
33x46,150,10,-0.25,edf,True,True,True,1500,1426,40068
33x46,150,10,-0.25,edf,False,False,True,1500,1426,39867
33x46,150,10,0,flex,True,False,True,1500,459,-1
33x46,150,10,0,flex,True,True,True,1500,817,-1
33x46,150,10,0,flex,False,False,True,1500,35,-1
33x46,150,10,0.1,flex,True,False,True,1500,546,-1
33x46,150,10,0.1,flex,True,True,True,1500,505,-1
33x46,150,10,0.1,flex,False,False,True,1500,39,-1
33x46,150,10,0.25,flex,True,False,True,1500,589,-1
33x46,150,10,0.25,flex,True,True,True,1500,549,-1
33x46,150,10,0.25,flex,False,False,True,1500,40,-1
33x46,150,10,-0.1,flex,True,False,True,1500,504,-1
33x46,150,10,-0.1,flex,True,True,True,1500,945,-1
33x46,150,10,-0.1,flex,False,False,True,1500,35,-1
33x46,150,10,-0.25,flex,True,False,True,1500,990,-1
33x46,150,10,-0.25,flex,True,True,True,1500,1373,2508536
33x46,150,10,-0.25,flex,False,False,True,1500,38,-1
33x46,150,2,0,edf,True,False,True,300,281,4931
33x46,150,2,0,edf,True,True,True,300,281,4882
33x46,150,2,0,edf,False,False,True,300,281,4900
33x46,150,2,0.1,edf,True,False,True,300,291,5043
33x46,150,2,0.1,edf,True,True,True,300,291,4966
33x46,150,2,0.1,edf,False,False,True,300,291,5046
33x46,150,2,0.25,edf,True,False,True,300,300,6568
33x46,150,2,0.25,edf,True,True,True,300,300,6613
33x46,150,2,0.25,edf,False,False,True,300,300,6698
33x46,150,2,-0.1,edf,True,False,True,300,262,4331
33x46,150,2,-0.1,edf,True,True,True,300,262,4348
33x46,150,2,-0.1,edf,False,False,True,300,262,4291
33x46,150,2,-0.25,edf,True,False,True,300,232,4143
33x46,150,2,-0.25,edf,True,True,True,300,232,4141
33x46,150,2,-0.25,edf,False,False,True,300,232,4136
33x46,150,2,0,flex,True,False,True,300,290,297030
33x46,150,2,0,flex,True,True,True,300,290,77045
33x46,150,2,0,flex,False,False,True,300,127,-1
33x46,150,2,0.1,flex,True,False,True,300,299,229779
33x46,150,2,0.1,flex,True,True,True,300,299,77278
33x46,150,2,0.1,flex,False,False,True,300,111,-1
33x46,150,2,0.25,flex,True,False,True,300,299,242764
33x46,150,2,0.25,flex,True,True,True,300,299,74702
33x46,150,2,0.25,flex,False,False,True,300,109,-1
33x46,150,2,-0.1,flex,True,False,True,300,274,214586
33x46,150,2,-0.1,flex,True,True,True,300,274,62907
33x46,150,2,-0.1,flex,False,False,True,300,131,-1
33x46,150,2,-0.25,flex,True,False,True,300,241,131223
33x46,150,2,-0.25,flex,True,True,True,300,241,37862
33x46,150,2,-0.25,flex,False,False,True,300,180,-1
33x46,150,5,0,edf,True,False,True,750,720,15269
33x46,150,5,0,edf,True,True,True,750,720,15655
33x46,150,5,0,edf,False,False,True,750,720,15419
33x46,150,5,0.1,edf,True,False,True,750,744,15273
33x46,150,5,0.1,edf,True,True,True,750,744,15248
33x46,150,5,0.1,edf,False,False,True,750,744,15260
33x46,150,5,0.25,edf,True,False,True,750,725,16256
33x46,150,5,0.25,edf,True,True,True,750,725,16084
33x46,150,5,0.25,edf,False,False,True,750,725,16454
33x46,150,5,-0.1,edf,True,False,True,750,717,17165
33x46,150,5,-0.1,edf,True,True,True,750,717,17360
33x46,150,5,-0.1,edf,False,False,True,750,717,17340
33x46,150,5,-0.25,edf,True,False,True,750,676,19072
33x46,150,5,-0.25,edf,True,True,True,750,676,18865
