size,agent,task_per_agent,phi,scheduler,window,bound,sort,mlabel,reserve,task_num,task_success,time_ms
33x46,120,10,0,edf,0,True,True,True,False,1200,1186.800000,25973.200000
33x46,120,10,0,edf,0,True,True,True,True,1200,1189.200000,27483.800000
33x46,120,10,0.1,edf,0,True,True,True,False,1200,1195.000000,24298.800000
33x46,120,10,0.1,edf,0,True,True,True,True,1200,1195.200000,24165.600000
33x46,120,10,0.25,edf,0,True,True,True,False,1200,1197.400000,24914.400000
33x46,120,10,0.25,edf,0,True,True,True,True,1200,1198.800000,26374.400000
33x46,120,10,-0.1,edf,0,True,True,True,False,1200,1170.200000,25110.800000
33x46,120,10,-0.1,edf,0,True,True,True,True,1200,1171.200000,27955.000000
33x46,120,10,-0.25,edf,0,True,True,True,False,1200,1143.000000,24151.000000
33x46,120,10,-0.25,edf,0,True,True,True,True,1200,1144.400000,26909.000000
33x46,120,10,0,flex,0,True,True,True,False,1200,705.400000,-1.000000
33x46,120,10,0,flex,0,True,True,True,True,1200,745.000000,-1.000000
33x46,120,10,0,flex,20,True,True,True,False,1200,1188.600000,83939.400000
33x46,120,10,0,flex,20,True,True,True,True,1200,1190.000000,89105.200000
33x46,120,10,0.1,flex,0,True,True,True,False,1200,692.600000,-1.000000
33x46,120,10,0.1,flex,0,True,True,True,True,1200,731.200000,354321.200000
33x46,120,10,0.1,flex,20,True,True,True,False,1200,1191.200000,77309.600000
33x46,120,10,0.1,flex,20,True,True,True,True,1200,1196.400000,81340.200000
33x46,120,10,0.25,flex,0,True,True,True,False,1200,688.000000,-1.000000
33x46,120,10,0.25,flex,0,True,True,True,True,1200,634.200000,-1.000000
33x46,120,10,0.25,flex,20,True,True,True,False,1200,1188.000000,77807.600000
33x46,120,10,0.25,flex,20,True,True,True,True,1200,1200.000000,79269.000000
33x46,120,10,-0.1,flex,0,True,True,True,False,1200,848.600000,-1.000000
33x46,120,10,-0.1,flex,0,True,True,True,True,1200,656.400000,-1.000000
33x46,120,10,-0.1,flex,20,True,True,True,False,1200,1169.200000,78194.000000
33x46,120,10,-0.1,flex,20,True,True,True,True,1200,1175.600000,85006.200000
33x46,120,10,-0.25,flex,0,True,True,True,False,1200,999.800000,883798.400000
33x46,120,10,-0.25,flex,0,True,True,True,True,1200,1095.600000,1228505.800000
33x46,120,10,-0.25,flex,20,True,True,True,False,1200,1143.800000,69680.400000
33x46,120,10,-0.25,flex,20,True,True,True,True,1200,1145.200000,77231.200000
33x46,120,2,0,edf,0,True,True,True,False,240,229.000000,3318.600000
